id,name,vendor_type,status,general_email,website,phone,street_address,city,state,zip,country,previous_participant,notes
52,Kristin Bertrand Woodwind Repair,repair,,,woodwindworkshop.com,6466706565,"160 W. 48th St., 4th Fl.",New York,NY,10036,,,
53,LC Double Reeds,NEW,,,,,,,,,,,contacted via website 10/8
54,Legere Reeds,NEW,,,,,,,,,,,emailed on website 10/7/22
55,Leitzinger,maker,,,https://www.leitzinger.de/en/,49 0 6021 540384,,,,,,"Exhibitor (2014), but canceled",Email invitation (10/2); Potentially interested; sent follow up email (10/7) with PDF of opportunities to be involved.
56,Leslie Ross Bassoons,maker,,,http://www.leslieross.net/,2122609344,"131 Essex St., 6th Fl.",New York,NY,10002,,,emailed 10/17/22
57,Malarskey Woodwinds,repair,,,www.malarskeywoodwinds.com,6102943114,93 Municipal Road,Pipersville,PA,18947,,,
58,Marcus Bona,NEW,,,http://mbcases.com.br/en/,,,,,,,,
59,Mark Masters Label,,,,,,,,,,,,
60,Martin VanKlompenberg,,,,,,,,,,,,PAID - SB Table. emailed 10/23
61,Maxwell Bassoon Profiler,vendor,,,http://www.bassoonprofiler.com/,,,,,,,,PAID - SB Table. emailed 10/23
62,MD Reed Products,NEW,,,https://www.mdreedproducts.com,,,,,,,,
63,Midwest Musical Imports,vendor,,,mmimports.com,8009265587,2021 E. Hennepin Ave. Suite 374,Minneapolis,MN,55413,,Exhibitor (2014),insterested in attending and sponsoring. setting up Zoom 10/17. 8/28/22 and 10/5/22; Update info to reflect new owner (Tori)
64,Miller Marketing,vendor,,,www.millermarketingco.com,6102785017,P.O. Box 822,Wayne,PA,19087,,"Exhibitor (2014, 2012)","PAID 10/31 2 tables, Full color inside ad and commercial. emailed 10/22 emailed 10/5. Heard back - had questions 10/8"
65,Moosmann ,NEW,,,,,,,,,,,
66,Mountain Peak Music,,,,,,,,,,,,PAID 1 tableheard back - asked about number of attendees. emailed 10/22
67,MSR Label,NEW,,,http://www.msrcd.com/,203-304-2486,,,,,,,PAID; email invitation 10/7/22; RESPONDED 10/10 that will purchase ad (Put a hold on Inside front cover advertisement);10/13 sent email w/Ad file; 10/14 posted file to google folder
68,Nexus Woodwind,NEW,,,nexuswoodwind.com,,,,,,,,emailed 10/20/22
69,Ortwein Woodwinds,NEW,,,http://ortweinwoodwinds.com/,,,,,,,,reached out over Facebook message (10/17/22); responded 10/18 and is interested in some type of sponsorship/advertisement--doesn't think can come to symposium
70,Otter Creek Double Reeds,NEW,,,https://ottercreekdoublereeds.com,,,,,,,,emailed 10/8
71,Paul Nordby Bassoon Repair,repair,,,,,,,,,,Cover ad (2014),
72,Püchner,maker,,,www.puchner.com,,,,,,,,10/2/22 (emailed)
73,Rath Music Group,vendor,,,www.rathmusicgroup.com,9188595373,,,,,,,
74,RDG Woodwinds,vendor,,,rdgwoodwinds.com,3234634930,589 Larchmont Blvd.,Los Angeles,CA,90004,,Exhibitor (2019),10/7/22 (emailed)
75,Reed Expertise,vendor,,,reedexpertise.com, reedexpertise@gmail.com,,,,,,,10/20/22 emailed
76,Reed Geek,NEW,,,https://www.reedgeek.com/contact/,,,,,,,,
77,Reeds 'n Stuff,NEW,,,https://www.reedsnstuff.com/en/,,,,,,,,10/20/22 emailed; 10/21 responded with interest (want to give a machine for prize)--12/5 will donate tip profiling machine for VaV grand prize--will need to send winner's contact information and they will arrange shipping with winner--winner gets to choose template
78,Rhapsody Reeds,NEW,,,https://rhapsodyreeds.com,,,,,,,,10/23 interested in small business table. New 2022 contacted via website
79,"Rhodes Reeds, Cane & Tools",vendor,,,,4155508585,749 Moultrie Street,San Francisco,CA,94110,,Exhibitor (2012),
80,Georg Rieger,NEW,,,https://www.georgrieger.com/en/bassoon.html,,,,,,,,
81,RS Woodwinds,vendor,,,,,,,,,,Exhibitor (2012),
82,Sign of the Silver Birch Music,vendor,,,,(323) 463-5810,2367 Creston Drive,Los Angeles,CA, 90068-2201,,,
83,Solution di Patrizi,NEW,,,,,,,,,,,
84,Squirley Stash,NEW,,,squirleystash.com,,,,,,,,
85,TateReeds,NEW,,,,,,,,,,,emailed 10/8
86,The Music Source.org,vendor,,,themusicsource.org,2036980444,1345 East Putnam Ave.,Old Greenwich,CT,6870,,,emailed 10/12; responded 10/12 and interested in advertising/sponsorship--sent followup to explain options; email follow up on 10/23
87,The Reed Lab,NEW,,,,,,,,,,,
88,Tigoni Reed Works,NEW,,,,,,,,,,,
89,Tonik Products,vendor,,,,,,,,,,,
90,Trevco Music Publishing,vendor,,,www.trevcomusicpublishing.com,,,,,,,Exhibitor (2014),
91,Vigder's Bassoon Supplies,vendor,,,https://grafistu8.wixsite.com/vigder,(747) 224-0442,20430 Malden Street,Winnetka,CA,91306,,,
92,Weasel Reeds,NEW,,,,,,,,,,,10/23 - Trent is a go! I will email him shipping information. He was very grateful becasue he will have surgery at end of December and won't be able to attend. should I contact? He is going through radiation therapy. Don't want to impose. Perhaps offer him a small business slot for free? Shannon: I think it would be a lovely gesture to offer him a small business slot for free.
93,Weisberg Systems and Nielsen Bocal Supply,repair,,,,6186245861,,,,,,Exhibitor (2012),"PAID 2 tables, 1 extra badge emailed 10/8"
94,Wiseman Cases,NEW,,,https://wisemanlondon.com/,,,,,,,,emailed 10/17/22
95,West Double Reed Company,NEW,,,https://westdoublereed.com/,,,,,,,,emailed on website contact form (10/17/22)
96,Woodwind Brasswind,vendor,,,https://www.wwbw.com/,,,,,,,,sent email through online email form (10/7/22)
97,Womble Williams Double Reeds,NEW,,,,,,,,,,,messaged JJ to see if he is in touch with Bob. emailed 10/8
98,Yamaha,maker,,,yamaha.com/usa,,,,,,,,emailed 10/8
